iter	Passed	Remaining
400	33781	8339
401	33853	8252
402	33935	8168
403	34009	8081
404	34087	7995
405	34160	7909
406	34232	7822
407	34303	7735
408	34382	7649
409	34457	7563
410	34532	7477
411	34606	7391
412	34675	7304
413	34755	7219
414	34828	7133
415	34903	7047
416	34977	6961
417	35055	6876
418	35126	6790
419	35201	6705
420	35282	6620
421	35350	6533
422	35423	6448
423	35502	6363
424	35576	6278
425	35658	6194
426	35738	6109
427	35814	6024
428	35884	5938
429	35959	5853
430	36034	5768
431	36104	5683
432	36181	5598
433	36256	5513
434	36325	5427
435	36405	5343
436	36486	5260
437	36574	5177
438	36668	5095
439	36755	5012
440	36838	4928
441	36922	4845
442	37008	4761
443	37093	4678
444	37193	4596
445	37298	4515
446	37378	4431
447	37467	4348
448	37551	4265
449	37633	4181
450	37717	4097
451	37797	4013
452	37875	3929
453	37945	3844
454	38019	3760
455	38094	3675
456	38172	3591
457	38242	3506
458	38322	3423
459	38398	3338
460	38473	3254
461	38550	3170
462	38621	3086
463	38700	3002
464	38783	2919
465	38859	2835
466	38937	2751
467	39011	2667
468	39091	2583
469	39168	2500
470	39252	2416
471	39370	2335
472	39446	2251
473	39528	2168
474	39605	2084
475	39679	2000
476	39754	1916
477	39833	1833
478	39905	1749
479	39980	1665
480	40057	1582
481	40127	1498
482	40204	1415
483	40275	1331
484	40346	1247
485	40424	1164
486	40496	1081
487	40573	997
488	40644	914
489	40722	831
490	40801	747
491	40872	664
492	40944	581
493	41022	498
494	41099	415
495	41179	332
496	41252	249
497	41327	165
498	41404	82
499	41477	0
