iter	Logloss
0	0.6246415621
1	0.5717154869
2	0.5304108286
3	0.4906989008
4	0.4599406973
5	0.4359798144
6	0.4162430746
7	0.3968907862
8	0.3821049307
9	0.3697056838
10	0.35560594
11	0.3446978108
12	0.3334049402
13	0.3254687875
14	0.3163701459
15	0.3097155236
16	0.3031343306
17	0.2971079523
18	0.2918417846
19	0.2873256195
20	0.2833732285
21	0.2790412482
22	0.2744477043
23	0.2697491995
24	0.2660510496
25	0.2614764939
26	0.2581375033
27	0.2549598499
28	0.2523034817
29	0.2499451994
30	0.2473913568
31	0.244001922
32	0.2423743209
33	0.2404766811
34	0.2384906192
35	0.2362444105
36	0.2344297592
37	0.2328897169
38	0.2310809244
39	0.229402107
40	0.22796395
41	0.2265499323
42	0.2246755388
43	0.2225709195
44	0.2208999401
45	0.2196696397
46	0.2183445008
47	0.2165418988
48	0.2153822493
49	0.2143550956
50	0.2133067069
51	0.2117717098
52	0.2110351526
53	0.2101388969
54	0.2090326563
55	0.2080625582
56	0.2064127546
57	0.2048699574
58	0.2037473347
59	0.2024222876
60	0.2012931658
61	0.2003457537
62	0.1989279419
63	0.197894802
64	0.1968791763
65	0.1955443504
66	0.194374563
67	0.1933811401
68	0.1927363944
69	0.1923879622
70	0.1912439281
71	0.1903714476
72	0.1893580799
73	0.1884955909
74	0.1877602531
75	0.1870526712
76	0.1862946587
77	0.1852885296
78	0.1845143659
79	0.1835275699
80	0.1827053548
81	0.1816666894
82	0.1806796689
83	0.1792007228
84	0.1784304741
85	0.1780116391
86	0.1775428533
87	0.1767603394
88	0.1756535485
89	0.1749334335
90	0.1744743329
91	0.1740031531
92	0.1735571474
93	0.1726369704
94	0.1720847861
95	0.1715544827
96	0.1701802643
97	0.1697603239
98	0.1693340428
99	0.1684895333
100	0.1681844381
101	0.1674485592
102	0.1670686059
103	0.1656566988
104	0.165237051
105	0.1646837228
106	0.1638919211
107	0.1635293795
108	0.1617784638
109	0.1606931284
110	0.1604430778
111	0.1595950886
112	0.1590843918
113	0.157902834
114	0.1576242298
115	0.1574406859
116	0.1572601549
117	0.1562255178
118	0.1559664934
119	0.1552906673
120	0.1543887958
121	0.1542152836
122	0.1539058902
123	0.1527076558
124	0.152328503
125	0.1512606103
126	0.1504303983
127	0.1501907325
128	0.150019263
129	0.148888961
130	0.147905768
131	0.1471662591
132	0.1461630977
133	0.1458097774
134	0.1456494261
135	0.1454996442
136	0.1445536967
137	0.1442355537
138	0.1430778364
139	0.1428745405
140	0.1420212103
141	0.1411905461
142	0.1399915953
143	0.1390601425
